venue,date_post,SEVERE_TOXICITY,SEVERE_TOXICITY80p,fixation_dict_incels,fixation_dict_td,NegativeEmotion,CoreHostility,We,They,fixation_dict_incels_norm,fixation_dict_td_norm,NegativeEmotion_norm,CoreHostility_norm,We_norm,They_norm,length,count_repeated,intervention_flag,date_idx
/r/Incels,2017-07-11,44.75522529459457,11.711711711711711,3.940362087326944,0.0,3.258785942492013,6.240681576144834,0.4898828541001065,1.5335463258785942,0.06327262261772491,0.0,0.03638792128114576,0.07939869058541003,0.006198955330593447,0.01124671100387631,163.0,4695,0,-119
/r/Incels,2017-07-12,39.70451409000002,6.666666666666667,4.540295119182747,0.0,4.256526674233825,6.2996594778660615,1.4188422247446084,2.4404086265607265,0.07126887012426762,0.0,0.05287685931720473,0.07782680533915419,0.012206808359921582,0.025898048402278176,138.0,1762,0,-118
/r/Incels,2017-07-13,36.62349801919192,7.07070707070707,5.109070034443168,0.0574052812858783,1.894374282433984,4.305396096440873,0.7462686567164178,1.377726750861079,0.08935567730842944,0.00048400673400673396,0.0177380271718952,0.05046150358895277,0.008448982904076615,0.011157384851322356,138.0,3484,0,-117
/r/Incels,2017-07-14,40.05549305175003,16.0,4.121863799283155,0.12406947890818859,3.0603804797353185,5.6106975461814175,0.7719878687620623,1.5026192445547284,0.09676460477839674,0.0012241853054353053,0.03636147841815744,0.07593619202758925,0.009034968343243391,0.01971497219455065,125.5,7254,0,-116
/r/Incels,2017-07-15,42.66062659079756,10.429447852760736,4.680616740088106,0.07342143906020558,3.5058737151248165,6.571218795888399,0.47723935389133626,1.8355359765051396,0.0825569568723782,0.0009643326041800679,0.03881836677622286,0.0843758430068949,0.0050693863873683635,0.015834452863495548,129.0,5448,0,-115
/r/Incels,2017-07-16,45.94968100189742,9.230769230769232,3.691084611016468,0.045428733674048836,3.634298693923907,6.189664963089154,0.760931289040318,1.9193639977285633,0.06706274025182471,0.0004454735157076294,0.040447490463430616,0.07990795695826039,0.006740082390079884,0.018338441981903267,174.0,8805,0,-114
/r/Incels,2017-07-17,40.59819914531914,8.936170212765958,4.574780058651026,0.093841642228739,3.319648093841642,5.043988269794721,0.3519061583577713,1.970674486803519,0.07561071879152037,0.0006103010089836585,0.04098898548118842,0.06965338931289541,0.0033000116641139633,0.01849295128636799,151.0,8525,0,-113
/r/Incels,2017-07-18,41.32848812791667,9.166666666666666,4.545454545454546,0.03487561032318066,3.092304115322018,5.952104161822832,0.3603813066728668,1.441525226691467,0.07916603328727348,0.0009798802561960455,0.037063623007431615,0.08501241253730048,0.004105953302315268,0.012384479791375564,133.0,8602,0,-112
/r/Incels,2017-07-19,37.73489508854165,10.416666666666668,5.053233751787701,0.03178134435086604,2.7173049419990467,4.846655013507071,0.2860320991577944,1.3348164627363739,0.09009218479260024,0.00016691879575676078,0.03496015111252816,0.06508883224665642,0.0037659473739044273,0.013068324724680237,140.5,6293,0,-111
/r/Incels,2017-07-20,41.720694745320166,10.83743842364532,4.1074810606060606,0.023674242424242424,2.994791666666667,5.089962121212121,0.6628787878787878,1.680871212121212,0.07856532416621465,0.00010723501223149358,0.033835479611926796,0.06162470838378574,0.006295269540410908,0.012370000814046201,146.0,8448,0,-110
/r/Incels,2017-07-21,42.56041063595505,11.235955056179774,4.066390041493776,0.027662517289073305,2.8215767634854774,5.629322268326418,0.3042876901798064,1.1479944674965423,0.08157364355620997,0.0002007722683425885,0.04061216002844086,0.08450550991906093,0.0025310666943861443,0.013592552440042309,115.5,7230,0,-109
/r/Incels,2017-07-22,43.98186836750003,13.750000000000002,4.431178969119505,0.06887842957180576,3.5242796464240618,5.602112271840202,0.5051084835265756,1.3316496383882448,0.07343630276284935,0.0007458008486703182,0.04459376525713974,0.07976130494309944,0.004574269839886265,0.010602246894183815,149.5,8711,0,-108
/r/Incels,2017-07-23,44.71149915,18.75,5.673758865248227,0.1182033096926714,4.0189125295508275,6.382978723404255,0.3546099290780142,1.1820330969267139,0.11981745600050552,0.00043402777777777775,0.035258509080550934,0.0895628419969702,0.004833491161616162,0.010545118065967017,133.5,846,0,-107
/r/Incels,2017-08-01,42.182628103750005,10.0,4.569781803211198,0.04116920543433512,3.417044051049815,5.640181144503911,0.4528612597776863,1.9761218608480857,0.08471405722970048,0.0009615384615384616,0.03711614660734913,0.06678837984992325,0.004727241747715885,0.015305236531190255,120.5,2429,0,-98
/r/Incels,2017-08-02,41.526697662500005,9.821428571428571,4.336240310077519,0.0,2.8585271317829455,4.723837209302325,0.5571705426356589,1.7926356589147288,0.07495457397751895,0.0,0.0346570019725622,0.06714861631230572,0.005356406877914779,0.015610130396947726,140.0,4128,0,-97
